Time,HoTe,AwTe,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Ref,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HBP,ABP,HTTG,FTTG,TS,TST,TC,TF,TY,TR
19:45,Wigan,Accrington,3,0,H,2,0,H,A Backhouse,14,14,7,3,14,15,5,2,1,2,0,0,10,20,2,3,28,10,7,29,3,0
20:00,Bolton,Portsmouth,1,1,D,0,0,D,M Edwards,12,12,6,5,10,11,1,3,2,0,0,0,20,0,0,2,24,11,4,21,2,0
15:00,AFC Wimbledon,Milton Keynes Dons,1,1,D,1,0,H,J Oldham,8,14,3,6,17,11,1,6,3,2,0,0,30,20,1,2,22,9,7,28,5,0
15:00,Bolton,Sheffield Weds,1,1,D,0,0,D,C Brook,8,21,2,5,12,15,4,10,4,2,0,0,40,20,0,2,29,7,14,27,6,0
15:00,Burton,Plymouth,0,0,D,0,0,D,L Doughty,6,9,3,2,17,11,1,3,2,1,0,0,20,10,0,0,15,5,4,28,3,0
15:00,Cambridge,Morecambe,2,1,H,1,0,H,C Boyeson,15,19,5,5,12,12,3,5,0,1,0,0,0,10,1,3,34,10,8,24,1,0
15:00,Cheltenham,Portsmouth,1,0,H,0,0,D,O Yates,19,17,7,5,8,9,7,9,1,0,0,0,10,0,0,1,36,12,16,17,1,0
15:00,Doncaster,Crewe,2,0,H,1,0,H,D Bourne,19,12,9,2,15,12,7,2,1,2,0,0,10,20,1,2,31,11,9,27,3,0
15:00,Fleetwood Town,Accrington,1,2,A,1,0,H,J Simpson,11,24,3,7,21,14,5,9,1,3,1,0,35,30,1,3,35,10,14,35,4,1
15:00,Gillingham,Wycombe,1,1,D,0,1,A,S Mather,18,13,5,6,12,10,6,3,2,1,0,1,20,35,1,2,31,11,9,22,3,1
15:00,Lincoln,Wigan,1,3,A,1,2,A,S Oldham,13,14,4,6,8,14,5,8,1,4,0,0,10,40,3,4,27,10,13,22,5,0
15:00,Oxford,Sunderland,1,2,A,1,1,D,B Toner,20,11,6,5,9,14,5,4,0,2,0,0,0,20,2,3,31,11,9,23,2,0
15:00,Rotherham,Charlton,0,1,A,0,0,D,R Joyce,10,9,1,5,9,12,9,3,0,1,0,0,0,10,0,1,19,6,12,21,1,0
15:00,Shrewsbury,Ipswich,1,1,D,0,1,A,D Handley,5,8,1,4,13,12,3,3,4,3,0,1,40,55,1,2,13,5,6,25,7,1
19:45,Burton,Wigan,0,0,D,0,0,D,A Haines,9,10,3,2,16,11,5,4,3,3,0,0,30,30,0,0,19,5,9,27,6,0
19:45,Portsmouth,Rotherham,3,0,H,1,0,H,D Rock,10,9,6,1,17,17,5,4,2,3,0,0,20,30,1,3,19,7,9,34,5,0
